Conda packages list
# Name                            Version          Build                Channel
_libgcc_mutex                     0.1              conda_forge          conda-forge
_openmp_mutex                     4.5              2_gnu                conda-forge
abseil-cpp                        20220623.0       h8cdb687_6           conda-forge
affine                            2.4.0            pypi_0               pypi
aiohappyeyeballs                  2.4.3            pyhd8ed1ab_0         conda-forge
aiohttp                           3.10.5           py38h2019614_0       conda-forge
aiosignal                         1.3.1            pyhd8ed1ab_0         conda-forge
alsa-lib                          1.2.3.2          h166bdaf_0           conda-forge
aom                               3.5.0            h27087fc_0           conda-forge
arrow-cpp                         9.0.0            py38hdd638c3_5_cpu   conda-forge
async-timeout                     4.0.3            pyhd8ed1ab_0         conda-forge
attr                              2.5.1            h166bdaf_1           conda-forge
attrs                             24.2.0           pyh71513ae_0         conda-forge
aws-c-cal                         0.5.11           h95a6274_0           conda-forge
aws-c-common                      0.6.2            h7f98852_0           conda-forge
aws-c-event-stream                0.2.7            h3541f99_13          conda-forge
aws-c-io                          0.10.5           hfb6a706_0           conda-forge
aws-checksums                     0.1.11           ha31a3da_7           conda-forge
aws-sdk-cpp                       1.8.186          hecaee15_4           conda-forge
beautifulsoup4                    4.12.3           pypi_0               pypi
blosc                             1.21.5           h0f2a231_0           conda-forge
boost-cpp                         1.74.0           h6cacc03_7           conda-forge
brotli                            1.0.9            h166bdaf_9           conda-forge
brotli-bin                        1.0.9            h166bdaf_9           conda-forge
brotli-python                     1.0.9            py38hfa26641_9       conda-forge
brunsli                           0.1              h9c3ff4c_0           conda-forge
bzip2                             1.0.8            h4bc722e_7           conda-forge
c-ares                            1.34.5           hb9d3cd8_0           conda-forge
c-blosc2                          2.12.0           hb4ffafa_0           conda-forge
ca-certificates                   2025.8.3         hbd8a1cb_0           conda-forge
cairo                             1.16.0           ha12eb4b_1010        conda-forge
certifi                           2024.8.30        pyhd8ed1ab_0         conda-forge
cffi                              1.17.0           py38heb5c249_0       conda-forge
cfitsio                           4.1.0            hd9d235c_0           conda-forge
charls                            2.3.4            h9c3ff4c_0           conda-forge
charset-normalizer                2.0.12           pypi_0               pypi
clearml                           2.0.2            pypi_0               pypi
click                             8.1.7            unix_pyh707e725_0    conda-forge
click-plugins                     1.1.1.2          pypi_0               pypi
cligj                             0.7.2            pypi_0               pypi
cloudpickle                       3.1.0            pyhd8ed1ab_1         conda-forge
colorama                          0.4.6            pyhd8ed1ab_0         conda-forge
curl                              7.86.0           h7bff187_1           conda-forge
cycler                            0.12.1           pyhd8ed1ab_0         conda-forge
cyrus-sasl                        2.1.27           h230043b_5           conda-forge
cytoolz                           0.12.3           py38h01eb140_0       conda-forge
dask-core                         2023.5.0         pyhd8ed1ab_0         conda-forge
datasets                          2.13.1           pyhd8ed1ab_0         conda-forge
dav1d                             1.0.0            h166bdaf_1           conda-forge
dbus                              1.13.18          hb2f20db_0
dill                              0.3.6            pyhd8ed1ab_1         conda-forge
dominate                          2.7.0            pypi_0               pypi
expat                             2.7.1            hecca717_0           conda-forge
fftw                              3.3.10           nompi_hf1063bd_110   conda-forge
filelock                          3.16.1           pyhd8ed1ab_0         conda-forge
font-ttf-dejavu-sans-mono         2.37             hab24e00_0           conda-forge
font-ttf-inconsolata              3.000            h77eed37_0           conda-forge
font-ttf-source-code-pro          2.038            h77eed37_0           conda-forge
font-ttf-ubuntu                   0.83             h77eed37_3           conda-forge
